provider_id,total_reviews,suspicious_count,avg_rating,avg_fraud_score,avg_recency,verified_count,fraud_ratio,weighted_rating,S_overall,recency_boost,S_cred,S_final,tier
P1,1,0,1.4,0.03859493375635037,0.13040861740064524,1,0.0,1.3999999906666665,0.09999999766666662,0.13040861740064524,0.595,0.43604086092339783,Verified
P10,4,1,2.975,0.3341363027520272,0.1925834198414084,0,0.25,2.956756748765522,0.4891891871913805,0.1925834198414084,0.5800000000000001,0.5349745575011241,Verified
P10000,2,0,3.0999999999999996,0.23952541972668706,0.02444604038893316,1,0.0,3.05999998776,0.51499999694,0.02444604038893316,0.445,0.5106946029678934,Verified
P10001,3,1,4.066666666666667,0.38864296132332593,0.26454786263400193,0,0.3333333333333333,4.107407392194787,0.7768518480486968,0.26454786263400193,0.665,0.664352933080444,Trusted
P10002,1,0,3.6,0.38644284305872967,0.04979767589793802,1,0.0,3.5999999760000003,0.6499999940000001,0.04979767589793802,0.655,0.6444797654897938,Verified
P10003,4,2,2.8,0.456234719302653,0.24735446398866617,0,0.5,2.9852941088667815,0.49632352721669537,0.24735446398866617,0.8499999999999999,0.6134486809247098,Verified
P10005,3,3,3.5999999999999996,0.6038231681258169,0.13846186347823025,0,1.0,3.599999982857143,0.6499999957142858,0.13846186347823025,0.43,0.4133461848478231,Verified
P10006,3,0,2.733333333333333,0.2891267786592811,0.07570489890347788,1,0.0,3.0142857056734695,0.5035714264183674,0.07570489890347788,0.5599999999999999,0.5578204891367764,Verified
P10007,2,0,3.75,0.17282982840710376,0.23352047897063186,1,0.0,3.81999998472,0.70499999618,0.23352047897063186,0.5700000000000001,0.6481020465600633,Verified
P10008,3,1,4.233333333333333,0.36715489955750497,0.09224930641973923,2,0.3333333333333333,4.089189178137326,0.7722972945343316,0.09224930641973923,0.385,0.53352898372899,Verified
P1001,1,0,2.6,0.5230296193350403,0.1419380536338597,1,0.0,2.599999982666667,0.3999999956666668,0.1419380536338597,0.695,0.5821938038467194,Verified
P10010,1,0,1.5,0.4299837228776898,0.18801098844524794,0,0.0,1.4999999850000003,0.12499999625000008,0.18801098844524794,0.38,0.3645510975320248,Verified
P10012,2,0,3.95,0.29126709780552623,0.019920267430999263,2,0.0,3.9499999868333338,0.7374999967083334,0.019920267430999263,0.47,0.5981170255910166,Verified
P10013,2,0,2.7,0.3441605001655462,0.199491080404405,1,0.0,2.53999998984,0.38499999746,0.199491080404405,0.6699999999999999,0.5726991071514405,Verified
P10014,2,1,1.7,0.3382576333065412,0.05145471590378415,0,0.5,1.664705872560554,0.16617646814013848,0.05145471590378415,0.62,0.3863072354394269,Verified
P10016,3,1,1.5999999999999999,0.4454294609428519,0.030998388039141806,1,0.3333333333333333,1.4562499954492187,0.11406249886230468,0.030998388039141806,0.275,0.2530217134057208,Verified
P10017,1,0,3.8,0.12871510922588214,0.647172505297141,0,0.0,3.7999999620000002,0.6999999905000001,0.647172505297141,0.42499999999999993,0.6297172472047141,Verified
P10018,1,0,4.2,0.12115780118671726,0.5176324619206888,1,0.0,4.1999999720000005,0.7999999930000001,0.5176324619206888,0.48,0.6737632437420689,Trusted
P1002,1,1,4.0,0.7773786467629862,0.5116869459983875,0,1.0,3.9999999428571433,0.7499999857142858,0.5116869459983875,0.8,0.6336686895998388,Verified
P10020,1,0,3.5,0.5517567546991524,0.2332582478842019,1,0.0,3.499999976666667,0.6249999941666667,0.2332582478842019,0.495,0.5900758227467535,Verified
P10021,1,0,1.2,0.2486077962614449,0.2015051880808344,0,0.0,1.199999988,0.04999999700000002,0.2015051880808344,0.445,0.3656505177580835,Verified
P10022,2,1,3.15,0.5551004176292711,0.33648088955309546,0,0.5,2.947058806193772,0.486764701548443,0.33648088955309546,0.5700000000000001,0.5070157344972646,Verified
P10023,1,0,1.3,0.23120460787268082,0.02184328022154718,0,0.0,1.2999999870000003,0.07499999675000008,0.02184328022154718,0.8150000000000001,0.5044343268846548,Verified
P10024,1,0,3.7,0.309101745009832,0.3521945389736586,1,0.0,3.699999975333334,0.6749999938333335,0.3521945389736586,0.395,0.5794694517390326,Verified
P10025,1,0,2.0,0.0946156460192713,0.06445537333768721,1,0.0,1.999999986666667,0.24999999666666672,0.06445537333768721,0.61,0.4879455361671021,Verified
P10026,1,0,2.9,0.22500282756497358,0.01668209679240207,0,0.0,2.899999971,0.47499999275000004,0.01668209679240207,0.605,0.5599182071417402,Verified
P10027,1,0,1.5,0.41326328129201306,0.015386168014600488,1,0.0,1.49999999,0.12499999750000002,0.015386168014600488,0.42,0.36328861592646006,Verified
P10029,2,0,3.0999999999999996,0.2854605902522234,0.3843164203290478,1,0.0,2.95999998816,0.48999999703999997,0.3843164203290478,0.79,0.6759316409969047,Trusted
P1003,1,0,4.3,0.3018195282362798,0.3235862526485705,0,0.0,4.299999957000001,0.8249999892500002,0.3235862526485705,0.76,0.775108621502357,Trusted
P10032,1,0,4.4,0.27041714013671614,0.19539215433709026,0,0.0,4.399999956000001,0.8499999890000003,0.19539215433709026,0.685,0.7410392115837091,Trusted
P10033,1,0,2.6,0.0855875792689389,0.1816066439763344,1,0.0,2.599999982666667,0.3999999956666668,0.1816066439763344,0.63,0.5601606628809668,Verified
P10035,1,0,1.9,0.5092567297095754,0.4980782936102876,0,0.0,1.8999999810000001,0.22499999525000003,0.4980782936102876,0.7799999999999999,0.5905578276985288,Verified
P10036,2,0,3.45,0.18488262292150132,0.2619892180889076,1,0.0,3.2999999868,0.5749999967,0.2619892180889076,0.53,0.5894489206538908,Verified
P10037,1,0,1.9,0.06593036182487433,0.08089656316214262,1,0.0,1.8999999873333333,0.22499999683333333,0.08089656316214262,0.8799999999999999,0.588839655207881,Verified
P10038,1,0,2.6,0.1009863502894317,0.1909293913643304,0,0.0,2.5999999740000006,0.39999999350000015,0.1909293913643304,0.49000000000000005,0.5050929368614332,Verified
P10039,2,0,2.6500000000000004,0.2848192754681424,0.09666877302291584,1,0.0,2.73999998904,0.43499999726000005,0.09666877302291584,0.8450000000000001,0.6499168763432916,Verified
P1004,1,0,1.4,0.48315575227912455,0.029269776819805384,1,0.0,1.3999999906666665,0.09999999766666662,0.029269776819805384,0.385,0.34192697686531387,Verified
P10040,1,1,2.8,0.5918321002216724,0.024707812726234252,0,1.0,2.79999996,0.44999999,0.024707812726234252,0.7450000000000001,0.45797077777262346,Verified
P10041,1,0,2.4,0.3949749188375883,0.5633963890361899,1,0.0,2.399999984,0.349999996,0.5633963890361899,0.7850000000000001,0.642839637503619,Verified
P10042,2,0,1.3,0.25477073260461086,0.2911786109728268,0,0.0,1.2999999935000002,0.07499999837500004,0.2911786109728268,0.345,0.3433678605285327,Verified
P10043,2,1,3.3,0.48758304903293587,0.14969997918225272,1,0.5,2.9727272592148757,0.4931818148037189,0.14969997918225272,0.285,0.37658363309952686,Verified
P10044,2,0,3.0,0.16959257720875376,0.16153851075128817,1,0.0,2.95999998816,0.48999999703999997,0.16153851075128817,0.495,0.5356538500391288,Verified
P10045,1,0,1.9,0.3046245345622164,0.33370996354250865,0,0.0,1.8999999810000001,0.22499999525000003,0.33370996354250865,0.6000000000000001,0.502120994691751,Verified
P10046,3,1,3.0666666666666664,0.37801996980599495,0.43045569650999926,2,0.3333333333333333,3.081081072753835,0.5202702681884588,0.43045569650999926,0.55,0.5451401635169605,Verified
P10047,1,0,3.3,0.2208554309437023,0.12027797961176816,1,0.0,3.299999978,0.5749999945,0.12027797961176816,0.75,0.6632777960361769,Trusted
P10048,1,0,1.0,0.20038245668545518,0.14922442041978376,1,0.0,0.9999999933333334,0.0,0.14922442041978376,0.4099999999999999,0.32892244204197835,Verified
P10049,2,0,3.15,0.29528874259008947,0.10905259320302016,2,0.0,3.1499999895,0.537499997375,0.10905259320302016,0.635,0.6030302584015521,Verified
P10050,2,0,2.5,0.29081393323862337,0.09440314932106322,1,0.0,2.7999999888000002,0.44999999720000006,0.09440314932106322,0.47,0.5049403139521063,Verified
P10051,1,0,3.8,0.21812708930426716,0.12645243003774032,0,0.0,3.7999999620000002,0.6999999905000001,0.12645243003774032,0.435,0.581645239678774,Verified
