source_provider_id,provider_id,source_category,category,source_district,mapped_district,mapping_algorithm,mapping_version
P010001,P00001,Masons,Masons,Gampaha,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010002,P00002,Masons,Masons,Nuwara Eliya,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010003,P00003,Masons,Masons,Jaffna,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010004,P00004,Masons,Masons,Kalutara,Kandy,category-sorted-bijection-v1,provider-map-v1
P010005,P00005,Masons,Masons,Badulla,Kandy,category-sorted-bijection-v1,provider-map-v1
P010006,P00006,Masons,Masons,Matale,Galle,category-sorted-bijection-v1,provider-map-v1
P010007,P00007,Masons,Masons,Batticaloa,Jaffna,category-sorted-bijection-v1,provider-map-v1
P010008,P00008,Masons,Masons,Kandy,Galle,category-sorted-bijection-v1,provider-map-v1
P010009,P00009,Masons,Masons,Kurunegala,Galle,category-sorted-bijection-v1,provider-map-v1
P010010,P00010,Masons,Masons,Batticaloa,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010011,P00011,Masons,Masons,Kurunegala,Kalutara,category-sorted-bijection-v1,provider-map-v1
P010012,P00012,Masons,Masons,Badulla,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010013,P00013,Masons,Masons,Matale,Gampaha,category-sorted-bijection-v1,provider-map-v1
P010014,P00014,Masons,Masons,Anuradhapura,Colombo,category-sorted-bijection-v1,provider-map-v1
P010015,P00015,Masons,Masons,Galle,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010016,P00016,Masons,Masons,Kandy,Kandy,category-sorted-bijection-v1,provider-map-v1
P010017,P00017,Masons,Masons,Badulla,Matara,category-sorted-bijection-v1,provider-map-v1
P010018,P00018,Masons,Masons,Kandy,Galle,category-sorted-bijection-v1,provider-map-v1
P010019,P00019,Masons,Masons,Anuradhapura,Anuradhapura,category-sorted-bijection-v1,provider-map-v1
P010020,P00020,Masons,Masons,Batticaloa,Matara,category-sorted-bijection-v1,provider-map-v1
P010021,P00021,Masons,Masons,Batticaloa,Batticaloa,category-sorted-bijection-v1,provider-map-v1
P010022,P00022,Masons,Masons,Galle,Kurunegala,category-sorted-bijection-v1,provider-map-v1
P010023,P00023,Masons,Masons,Nuwara Eliya,Galle,category-sorted-bijection-v1,provider-map-v1
