category,method,query_count,ndcg_at_5,precision_at_5,recall_at_5,map_at_5,selected_mean_proxy_relevance
A/C,average_rating,22,0.7142722266,0.4272727273,0.4272727273,0.2771212121,0.5485675455
A/C,catf,22,0.7023566396,0.4545454545,0.4545454545,0.2978787879,0.5390722727
A/C,catf_no_credibility,22,0.7002832003,0.4454545455,0.4454545455,0.2912121212,0.5354174242
A/C,catf_uniform_weights,22,0.7114625397,0.4727272727,0.4727272727,0.3196969697,0.5418043939
CCTV,average_rating,20,0.6775690599,0.42,0.42,0.2881666667,0.5424111667
CCTV,catf,20,0.7307960398,0.49,0.49,0.3426666667,0.5788721667
CCTV,catf_no_credibility,20,0.7137342036,0.46,0.46,0.3291666667,0.5595661667
CCTV,catf_uniform_weights,20,0.7027160963,0.46,0.46,0.2888333333,0.5698891667
Carpenters,average_rating,20,0.697067928,0.44,0.44,0.2755,0.5672206333
Carpenters,catf,20,0.7021827604,0.46,0.46,0.2921666667,0.5656291667
Carpenters,catf_no_credibility,20,0.6936825069,0.42,0.42,0.2651666667,0.5580946667
Carpenters,catf_uniform_weights,20,0.6936466154,0.42,0.42,0.2873333333,0.5535303
Ceiling,average_rating,18,0.7126401043,0.4555555556,0.4555555556,0.2764814815,0.5549228519
Ceiling,catf,18,0.7108194302,0.4444444444,0.4444444444,0.2833333333,0.5562693333
Ceiling,catf_no_credibility,18,0.7111246523,0.4444444444,0.4444444444,0.292037037,0.5543674815
Ceiling,catf_uniform_weights,18,0.7334318609,0.5,0.5,0.3416666667,0.5721598889
Cleaners,average_rating,19,0.6817595956,0.4736842105,0.4736842105,0.3094736842,0.5670050877
Cleaners,catf,19,0.6955622997,0.5052631579,0.5052631579,0.3498245614,0.5662464912
Cleaners,catf_no_credibility,19,0.6980232478,0.4947368421,0.4947368421,0.3549122807,0.5601478947
Cleaners,catf_uniform_weights,19,0.7029769159,0.5263157895,0.5263157895,0.36,0.5746612281
Cushion Works,average_rating,19,0.6931801383,0.4631578947,0.4631578947,0.3366666667,0.5475410526
Cushion Works,catf,19,0.7647971817,0.5368421053,0.5368421053,0.3940350877,0.5908849123
Cushion Works,catf_no_credibility,19,0.7734283105,0.5473684211,0.5473684211,0.4212280702,0.5916312281
Cushion Works,catf_uniform_weights,19,0.7624867089,0.5368421053,0.5368421053,0.4047368421,0.5949985965
Electricians,average_rating,19,0.7267021997,0.5052631579,0.5052631579,0.3459649123,0.5549547368
Electricians,catf,19,0.7217697882,0.5368421053,0.5368421053,0.3515789474,0.5667242105
Electricians,catf_no_credibility,19,0.7304882847,0.5473684211,0.5473684211,0.36,0.5729505263
Electricians,catf_uniform_weights,19,0.7393659779,0.5368421053,0.5368421053,0.3649122807,0.5762185965
Masons,average_rating,19,0.7132914553,0.4842105263,0.4842105263,0.3166666667,0.5575219298
Masons,catf,19,0.7144579919,0.4736842105,0.4736842105,0.3203508772,0.5570482456
Masons,catf_no_credibility,19,0.7065204178,0.4526315789,0.4526315789,0.3015789474,0.5481163158
Masons,catf_uniform_weights,19,0.7316754385,0.5157894737,0.5157894737,0.3443859649,0.5725180702
Painters,average_rating,20,0.7067938462,0.49,0.49,0.3638333333,0.5457256667
Painters,catf,20,0.7058384565,0.51,0.51,0.3623333333,0.5568975
Painters,catf_no_credibility,20,0.7053399557,0.53,0.53,0.3575,0.5556355
Painters,catf_uniform_weights,20,0.6954212566,0.49,0.49,0.3693333333,0.5449225
Plumbers,average_rating,20,0.7189210664,0.55,0.55,0.4161666667,0.5505133333
Plumbers,catf,20,0.6767040929,0.51,0.51,0.361,0.5287695
Plumbers,catf_no_credibility,20,0.7033986153,0.54,0.54,0.4105,0.538594
Plumbers,catf_uniform_weights,20,0.7149086632,0.53,0.53,0.4025,0.5427615
Technicians,average_rating,20,0.741242352,0.52,0.52,0.3866666667,0.5732541667
Technicians,catf,20,0.7599889509,0.56,0.56,0.4318333333,0.589059
Technicians,catf_no_credibility,20,0.7390331582,0.54,0.54,0.398,0.574948
Technicians,catf_uniform_weights,20,0.7521305309,0.54,0.54,0.4075,0.5842771667
Tile,average_rating,21,0.7218097407,0.5142857143,0.5142857143,0.3563492063,0.5878587302
Tile,catf,21,0.7499831529,0.5428571429,0.5428571429,0.369047619,0.602258254
Tile,catf_no_credibility,21,0.7385734793,0.4952380952,0.4952380952,0.3422222222,0.5903353968
Tile,catf_uniform_weights,21,0.7412753737,0.5714285714,0.5714285714,0.3850793651,0.6045839683
Vehicle Repairs,average_rating,21,0.7385696849,0.5142857143,0.5142857143,0.3801587302,0.5853126984
Vehicle Repairs,catf,21,0.7462205704,0.5047619048,0.5047619048,0.3738095238,0.5747707937
Vehicle Repairs,catf_no_credibility,21,0.7504210258,0.5142857143,0.5142857143,0.3577777778,0.5914352381
Vehicle Repairs,catf_uniform_weights,21,0.7273854761,0.4952380952,0.4952380952,0.3344444444,0.5778028571
Wells,average_rating,20,0.6811608034,0.47,0.47,0.325,0.524339
Wells,catf,20,0.7246989284,0.54,0.54,0.3588333333,0.561156
Wells,catf_no_credibility,20,0.7434516529,0.55,0.55,0.3856666667,0.5690403333
Wells,catf_uniform_weights,20,0.7180796059,0.5,0.5,0.3466666667,0.547458
