provider_id,category,proxy_relevance,test_review_count,mean_test_rating,mean_actual_credibility,actual_fake_review_rate
P04999,A/C,0.3988,2,3,0.568,0.5
P05000,A/C,0.1206,1,1,0.603,1
P05001,A/C,0.4609,2,4,0.6475,0.5
P05002,A/C,0.5592,1,3,0.932,0
P05004,A/C,0.5328,1,3,0.888,0
P05006,A/C,0.756,1,4,0.945,0
P05007,A/C,0.5438,2,3,0.9095,0
P05008,A/C,0.895,3,5,0.895,0
P05009,A/C,0.531,1,3,0.885,0
P05011,A/C,0.3164,2,2,0.634,0.5
P05012,A/C,0.3548,1,2,0.887,0
P05013,A/C,0.6339,2,3.5,0.905,0
P05014,A/C,0.375,1,5,0.375,1
P05016,A/C,0.5444,2,4.5,0.6375,0.5
P05018,A/C,0.5424,1,3,0.904,0
P05019,A/C,0.333,1,5,0.333,1
P05020,A/C,0.3628,1,2,0.907,0
P05023,A/C,0.441,1,3,0.735,0
P05028,A/C,0.6032,2,3.5,0.866,0
P05029,A/C,0.7528,1,4,0.941,0
P05030,A/C,0.5541333333,3,4,0.6936666667,0.3333333333
P05031,A/C,0.1824,1,1,0.912,0
P05032,A/C,0.6090666667,3,3.333333333,0.9133333333,0
P05034,A/C,0.5628,1,3,0.938,0
P05035,A/C,0.556,2,3,0.9285,0
P05036,A/C,0.5484,1,3,0.914,0
P05038,A/C,0.7464,1,4,0.933,0
P05040,A/C,0.666,1,5,0.666,0
P05042,A/C,0.6423,2,3.5,0.9145,0
P05043,A/C,0.049,1,1,0.245,1
P05044,A/C,0.3672,1,2,0.918,0
P05045,A/C,0.541,2,3,0.909,0
P05050,A/C,0.6771333333,3,4.333333333,0.7683333333,0.3333333333
P05052,A/C,0.7416,1,4,0.927,0
P05055,A/C,0.3744,1,2,0.936,0
P05057,A/C,0.5808,1,4,0.726,0
P05058,A/C,0.3365,2,3.5,0.611,0.5
P05059,A/C,0.6319,2,3.5,0.905,0
P05060,A/C,0.7224,1,4,0.903,0
P05062,A/C,0.3652,1,2,0.913,0
P05064,A/C,0.5261333333,3,3,0.852,0
P05065,A/C,0.897,1,5,0.897,0
P05067,A/C,0.4109,2,2.5,0.8345,0
P05071,A/C,0.3235,2,3,0.6795,0.5
P05072,A/C,0.5388,1,3,0.898,0
P05073,A/C,0.516,2,3,0.86,0
P05074,A/C,0.7168,1,4,0.896,0
P05078,A/C,0.89,1,5,0.89,0
P05079,A/C,0.5466,1,3,0.911,0
P05081,A/C,0.4828,3,3,0.8093333333,0
P05082,A/C,0.748,2,4,0.935,0
P05083,A/C,0.3812,1,2,0.953,0
P05085,A/C,0.5008,1,4,0.626,1
P05088,A/C,0.555,1,3,0.925,0
P05089,A/C,0.3632,1,2,0.908,0
P05091,A/C,0.7352,1,4,0.919,0
P05092,A/C,0.5300666667,3,3,0.8323333333,0
P05093,A/C,0.896,1,5,0.896,0
P05096,A/C,0.3028,1,2,0.757,0
P05097,A/C,0.91,1,5,0.91,0
P05098,A/C,0.0796,1,1,0.398,1
P05099,A/C,0.3925,2,2.5,0.5855,0.5
P05105,A/C,0.7361,2,4.5,0.8075,0
P05107,A/C,0.488,1,5,0.488,1
P05109,A/C,0.5424,1,3,0.904,0
P05112,A/C,0.924,1,5,0.924,0
P05113,A/C,0.7336,1,4,0.917,0
P05114,A/C,0.7232,1,4,0.904,0
P05117,A/C,0.927,1,5,0.927,0
P05118,A/C,0.895,1,5,0.895,0
P05119,A/C,0.7379,2,4,0.9245,0
P05121,A/C,0.1788,1,1,0.894,0
P05122,A/C,0.4512,1,3,0.752,0
P05123,A/C,0.2393,2,1.5,0.729,0.5
P05124,A/C,0.451,1,5,0.451,1
P05129,A/C,0.3395,2,5,0.3395,1
P05130,A/C,0.7412,2,4,0.9265,0
P05131,A/C,0.3636,1,2,0.909,0
P05132,A/C,0.3572,1,2,0.893,0
P05134,A/C,0.7424,1,4,0.928,0
P05135,A/C,0.0296,1,1,0.148,1
P05136,A/C,0.57,1,3,0.95,0
P05137,A/C,0.5358,1,3,0.893,0
P05140,A/C,0.348,1,5,0.348,1
P05141,A/C,0.2105,2,2,0.5625,1
P05142,A/C,0.5712,1,3,0.952,0
P05145,A/C,0.6453,2,3.5,0.9175,0
P05150,A/C,0.7408,1,4,0.926,0
P05152,A/C,0.7496,1,4,0.937,0
P05154,A/C,0.7005,2,5,0.7005,0.5
P05155,A/C,0.099,1,5,0.099,1
P05157,A/C,0.5583,2,3,0.9305,0
P05158,A/C,0.68,1,5,0.68,0
P05159,A/C,0.6362,2,3.5,0.9075,0
P05160,A/C,0.5544,1,3,0.924,0
P05161,A/C,0.7388,2,4,0.9235,0
P05162,A/C,0.7440666667,3,4,0.9276666667,0
P05163,A/C,0.6728,1,4,0.841,0
P05164,A/C,0.374,1,2,0.935,0
P05165,A/C,0.7456,1,4,0.932,0
P05166,A/C,0.6948,2,4,0.8685,0
P05167,A/C,0.5496,1,3,0.916,0
P05171,A/C,0.7264,1,4,0.908,0
P05172,A/C,0.3664,1,2,0.916,0
P05176,A/C,0.3072,1,2,0.768,0
P05177,A/C,0.3212,1,2,0.803,0
