query_id,category,method,candidate_count,top_k,ndcg_at_5,precision_at_5,recall_at_5,map_at_5,selected_mean_proxy_relevance,ideal_mean_proxy_relevance,cold_start_candidates,ranked_provider_ids,ideal_provider_ids
EVAL-007D1795-001,Carpenters,average_rating,10,5,0.711989896,0.6,0.6,0.4533333333,0.53939,0.70603,0,P00789|P00919|P00885|P00947|P00802,P01010|P00789|P00885|P00802|P00729
EVAL-007D1795-001,Carpenters,catf,10,5,0.7084011804,0.8,0.8,0.6433333333,0.54331,0.70603,0,P00789|P00977|P00885|P00802|P00729,P01010|P00789|P00885|P00802|P00729
EVAL-007D1795-001,Carpenters,catf_no_credibility,10,5,0.6517208558,0.6,0.6,0.42,0.49948,0.70603,0,P00789|P00977|P00947|P00885|P00729,P01010|P00789|P00885|P00802|P00729
EVAL-007D1795-001,Carpenters,catf_uniform_weights,10,5,0.6207623515,0.6,0.6,0.42,0.47251,0.70603,0,P00789|P00977|P00947|P00802|P00729,P01010|P00789|P00885|P00802|P00729
EVAL-007D1795-002,Carpenters,average_rating,10,5,0.8768273063,0.4,0.4,0.3333333333,0.5993,0.6635,0,P01044|P00734|P00837|P00719|P01015,P00837|P01053|P01044|P00878|P00937
EVAL-007D1795-002,Carpenters,catf,10,5,0.8871253465,0.6,0.6,0.32,0.63998,0.6635,0,P00719|P01053|P01015|P00837|P01044,P00837|P01053|P01044|P00878|P00937
EVAL-007D1795-002,Carpenters,catf_no_credibility,10,5,0.8254709309,0.4,0.4,0.1466666667,0.6108,0.6635,0,P00719|P01015|P01053|P00734|P00837,P00837|P01053|P01044|P00878|P00937
EVAL-007D1795-002,Carpenters,catf_uniform_weights,10,5,0.7966412393,0.4,0.4,0.13,0.6108,0.6635,0,P01015|P00719|P00734|P01053|P00837,P00837|P01053|P01044|P00878|P00937
EVAL-007D1795-003,Carpenters,average_rating,10,5,0.6628036911,0.2,0.2,0.05,0.45454,0.61241,2,P00933|P00899|P01060|P01071|P00965,P01071|P00804|P00760|P00926|P00984
EVAL-007D1795-003,Carpenters,catf,10,5,0.7056104983,0.2,0.2,0.1,0.45454,0.61241,2,P00933|P01071|P00965|P00899|P01060,P01071|P00804|P00760|P00926|P00984
EVAL-007D1795-003,Carpenters,catf_no_credibility,10,5,0.7056104983,0.2,0.2,0.1,0.45454,0.61241,2,P00933|P01071|P00965|P00899|P01060,P01071|P00804|P00760|P00926|P00984
EVAL-007D1795-003,Carpenters,catf_uniform_weights,10,5,0.6768422949,0.2,0.2,0.06666666667,0.45454,0.61241,2,P00933|P00965|P01071|P00899|P01060,P01071|P00804|P00760|P00926|P00984
EVAL-007D1795-004,Carpenters,average_rating,10,5,0.7100957477,0.6,0.6,0.4833333333,0.5379466667,0.6445866667,0,P00891|P00862|P00931|P00835|P01000,P01001|P00835|P00992|P00891|P00931
EVAL-007D1795-004,Carpenters,catf,10,5,0.6439954433,0.4,0.4,0.28,0.4978666667,0.6445866667,0,P00891|P00879|P00862|P01000|P00835,P01001|P00835|P00992|P00891|P00931
EVAL-007D1795-004,Carpenters,catf_no_credibility,10,5,0.623221136,0.4,0.4,0.28,0.4809866667,0.6445866667,0,P00891|P00879|P00907|P01000|P00835,P01001|P00835|P00992|P00891|P00931
EVAL-007D1795-004,Carpenters,catf_uniform_weights,10,5,0.7019531446,0.4,0.4,0.4,0.4978666667,0.6445866667,0,P00891|P00835|P00862|P00879|P01000,P01001|P00835|P00992|P00891|P00931
EVAL-007D1795-005,Carpenters,average_rating,10,5,0.5417165361,0.2,0.2,0.06666666667,0.37854,0.6395466667,0,P00934|P00731|P00828|P00917|P00904,P00846|P00969|P01003|P00721|P00828
EVAL-007D1795-005,Carpenters,catf,10,5,0.658465607,0.4,0.4,0.1466666667,0.4851866667,0.6395466667,0,P00934|P00731|P00721|P00770|P01003,P00846|P00969|P01003|P00721|P00828
EVAL-007D1795-005,Carpenters,catf_no_credibility,10,5,0.5621103937,0.2,0.2,0.06666666667,0.3958266667,0.6395466667,0,P00934|P00731|P00721|P00770|P00904,P00846|P00969|P01003|P00721|P00828
EVAL-007D1795-005,Carpenters,catf_uniform_weights,10,5,0.619349627,0.2,0.2,0.04,0.45484,0.6395466667,0,P00934|P00731|P00770|P00917|P01003,P00846|P00969|P01003|P00721|P00828
